第一層,第二層,第三層,稱謂（漢）,稱謂（台）,臺羅拼音
父,無,無,爸爸,阿爸、老爸,"a-pa, lāu-pē"
父,父,無,祖父、爺爺,阿公,a-kong
父,父,父,曾祖父,阿祖,"a-tsóo, tsa-poo-tsóo"
父,父,母,曾祖母,阿祖,"a-tsóo, tsa-bóo-tsóo"
父,父,兄,伯祖父,伯公,peh-kong
父,父,弟,叔祖父,叔公,tsik-kong
父,父,姊,姑祖母,姑婆,koo-pô
父,父,妹,姑祖母,姑婆,koo-pô
父,母,無,祖母、奶奶,阿媽,a-má
父,母,父,外曾祖父,阿祖,"a-tsóo, tsa-poo-tsóo"
父,母,母,外曾祖母,阿祖,"a-tsóo, tsa-bóo-tsóo"
父,母,兄,舅祖父,舅公,kū-kong
父,母,弟,舅祖父,舅公,kū-kong
父,母,姊,姨祖母,姨婆、姨媽,î-pô/î-má
父,母,妹,姨祖母,姨婆、姨媽,î-pô/î-má
父,兄,無,伯父、伯伯,阿伯,a-peh
父,兄,妻,伯母,阿姆,a-ḿ
父,兄,子,堂兄弟,叔伯兄弟,tsik-peh-hiann-tī
父,兄,女,堂姊妹,叔伯姊妹,tsik-peh-tsí-muāi